commune_norm,area_type,urban,population,idx_A_norm,idx_A_class,dist_norm,pressure_norm,pond
ABOMEY,Rural,0,92266,0.253680436,Moyen,0.369979217,0.118792163,0.6
ABOMEY-CALAVI,Urban,1,656358,1,Très faible,0.877749009,1,0.616
ADJA-OUERE,Rural,0,116282,0.379382305,Faible,0.480633721,0.196653471,0.56875
ADJARRA,Rural,0,97424,0.530059614,Très faible,0.564946038,0.347164953,0.555555556
ADJOHOUN,Rural,0,75323,0.155542751,Bon accès,0.244684794,0.056889299,0.578947368
AGBANGNIZOUN,Rural,0,72549,0.199944263,Bon accès,0.231792788,0.12527762,0.546153846
AGUEGUES,Rural,0,44562,0.325121805,Moyen,0.256543585,0.360518782,0.6
AKPRO-MISSERETE,Rural,0,127249,0.665949754,Très faible,0.664266271,0.378610592,0.509090909
ALLADA,Rural,0,127512,0.105389406,Bon accès,0.169834841,0.052642608,0.6
APLAHOUE,Rural,0,171109,0.266606333,Moyen,0.285301568,0.167606545,0.530769231
ATHIEME,Rural,0,56483,0.09972408,Bon accès,0.098488549,0.072987702,0.484615385
AVRANKOU,Rural,0,128050,0.702061789,Très faible,0.659035897,0.49114467,0.533333333
BANIKOARA,Rural,0,246575,0.453746869,Très faible,0.514894421,0.290415923,0.569767442
BANTE,Rural,0,107181,0.434222074,Faible,0.541258646,0.115899706,0.485
BASSILA,Rural,0,130091,0.182567897,Bon accès,0.257900308,0.100856021,0.596153846
BEMBEREKE,Rural,0,131255,0.368408832,Faible,0.437409795,0.141586153,0.5
BOHICON,Rural,0,171781,0.460318263,Très faible,0.519129336,0.292943374,0.566666667
BONOU,Rural,0,44349,0.087842237,Bon accès,0.156414927,0.023185068,0.564285714
BOPA,Rural,0,96281,0.139868234,Bon accès,0.041176836,0.228631791,0.569230769
BOUKOUMBE,Rural,0,82450,0.340811994,Faible,0.272221836,0.32522081,0.555555556
COBLY,Rural,0,67603,0.376324135,Faible,0.343709833,0.297774554,0.542857143
