commune_norm,area_type,urban,dist_norm,pressure_norm,pond,idx_A_norm,idx_A_class,idx_B_norm,idx_B_class,idx_C_norm,idx_C_class,idx_D_norm,idx_D_class,nb_changes,stability
ABOMEY,Rural,0,0.369979216860849,0.11879216259713343,0.6,0.2536804363902669,Medium access,0.2960979704672986,Medium access,0.20735933490627256,Good access,0.18571309191518118,Medium access,1,Slightly sensitive
ABOMEY-CALAVI,Urban,1,0.8777490093621179,1.0,0.616,1.0,Very Poor access,0.9781999856762227,Very Poor access,1.0,Very Poor access,0.7200814448302734,Very Poor access,0,Stable
ADJA-OUERE,Rural,0,0.4806337212205468,0.19665347101187047,0.56875,0.3793823046865879,Poor access,0.43168017389396907,Poor access,0.32086873162559026,Poor access,0.295252144781222,Poor access,0,Stable
ADJARRA,Rural,0,0.5649460379976492,0.3471649527538853,0.5555555555555556,0.530059614116811,Very Poor access,0.5713307903058186,Very Poor access,0.4790253150300827,Very Poor access,0.4234507085621648,Very Poor access,0,Stable
ADJOHOUN,Rural,0,0.24468479393479603,0.0568892989400817,0.5789473684210527,0.1555427506206377,Good access,0.18673757288379778,Good access,0.12213044256898743,Good access,0.11756181378211952,Good access,0,Stable
AGBANGNIZOUN,Rural,0,0.231792788336161,0.12527761950101063,0.5461538461538461,0.19994426280413852,Good access,0.21693301120540118,Good access,0.179320960297082,Good access,0.16181101686203558,Good access,0,Stable
AGUEGUES,Rural,0,0.25654358496320234,0.36051878240255236,0.6,0.32512180485873865,Medium access,0.30164969151758836,Medium access,0.34095040140174704,Poor access,0.23874526818973976,Medium access,1,Slightly sensitive
AKPRO-MISSERETE,Rural,0,0.6642662710416566,0.3786105920958698,0.509090909090909,0.6659497537065399,Very Poor access,0.7270848918677949,Very Poor access,0.592863490030065,Very Poor access,0.5824764116653753,Very Poor access,0,Stable
ALLADA,Rural,0,0.16983484082069986,0.05264260815621169,0.6,0.10538940583017543,Good access,0.12178135609533028,Good access,0.0873340205038686,Good access,0.07563406849796704,Good access,0,Stable
APLAHOUE,Rural,0,0.28530156792403255,0.167606545433922,0.5307692307692308,0.26660633252339916,Medium access,0.28703428990859775,Medium access,0.24125656733330134,Medium access,0.22291350161673937,Medium access,0,Stable
ATHIEME,Rural,0,0.09848854854769165,0.07298770184785208,0.4846153846153846,0.09972408048833771,Good access,0.10007946506825946,Good access,0.09728052062983855,Good access,0.09232406354841255,Good access,0,Stable
AVRANKOU,Rural,0,0.6590358965835503,0.49114466999383477,0.5333333333333333,0.7020617887464367,Very Poor access,0.7358218314410389,Very Poor access,0.6546613616879308,Very Poor access,0.5854152503885354,Very Poor access,0,Stable
BANIKOARA,Rural,0,0.5148944206355636,0.29041592317614984,0.5697674418604651,0.45374686873373554,Very Poor access,0.494731528023942,Poor access,0.4045965454378233,Very Poor access,0.3528269511650778,Poor access,2,Sensitive
BANTE,Rural,0,0.5412586458192257,0.11589970625378493,0.485,0.43422207352493275,Poor access,0.529233697664761,Very Poor access,0.33328889761894814,Poor access,0.39941773877148246,Very Poor access,2,Sensitive
BASSILA,Rural,0,0.2579003080403389,0.10085602127429115,0.5961538461538461,0.18256789656448594,Good access,0.2071097971713229,Good access,0.15501364283733196,Good access,0.13388796163445182,Good access,0,Stable
BEMBEREKE,Rural,0,0.43740979538527625,0.14158615263233043,0.5,0.36840883204946734,Poor access,0.4309865338678842,Poor access,0.30019528466941053,Medium access,0.3283200528609746,Poor access,1,Slightly sensitive
BOHICON,Rural,0,0.5191293357306697,0.2929433740695336,0.5666666666666667,0.4603182634932005,Very Poor access,0.5019262075811955,Very Poor access,0.410427404478219,Very Poor access,0.3600119806684714,Poor access,1,Slightly sensitive
BONOU,Rural,0,0.1564149270032633,0.023185068028215666,0.5642857142857143,0.08784223685240866,Good access,0.10868977334766165,Good access,0.06585197584729825,Good access,0.06760475484633041,Good access,0,Stable
BOPA,Rural,0,0.041176836406057876,0.22863179120160443,0.5692307692307692,0.1398682342568669,Good access,0.09767023547924517,Good access,0.17768894416736636,Good access,0.1075829356434448,Good access,0,Stable
BOUKOUMBE,Rural,0,0.2722218358626451,0.3252208097007026,0.5555555555555556,0.3408119938013164,Poor access,0.3261774659733679,Medium access,0.34777238546276007,Poor access,0.27173034758245473,Poor access,1,Slightly sensitive
COBLY,Rural,0,0.34370983300525365,0.2977745543736896,0.5428571428571428,0.37632413509337453,Poor access,0.382108635137185,Poor access,0.3628103311567914,Poor access,0.3076048113773901,Poor access,0,Stable
COME,Rural,0,0.12163375954867958,0.17118752277102445,0.65,0.13201842614378675,Good access,0.11814193419417648,Good access,0.14264378125186347,Good access,0.08680636252227261,Good access,0,Stable
COPARGO,Rural,0,0.30311674327405086,0.2643352445608024,0.5625,0.3185617418261392,Medium access,0.32220446728274266,Medium access,0.3083335517512206,Medium access,0.2505561503280905,Medium access,0,Stable
COTONOU,Urban,1,0.22185175860270184,0.4524801362332348,0.6588235294117647,0.32348534433866316,Medium access,0.280183789229747,Medium access,0.3585051161948252,Poor access,0.21486416908322123,Medium access,1,Slightly sensitive
COVE,Rural,0,0.6494712670288132,0.1601919451193694,0.625,0.4143403087546708,Poor access,0.49866030115377213,Very Poor access,0.3241547602198566,Poor access,0.29212147965350543,Poor access,1,Slightly sensitive
DANGBO,Rural,0,0.34147923815198455,0.12914591933105754,0.5888888888888889,0.24852020186253695,Medium access,0.28439180857663426,Medium access,0.20863162823386375,Medium access,0.18562246369354835,Good access,1,Slightly sensitive
DASSA-ZOUME,Rural,0,0.3495622432401746,0.05858126275265286,0.5285714285714286,0.23949510115484549,Good access,0.2966016763537328,Medium access,0.1792820462724666,Good access,0.201063532435444,Medium access,2,Sensitive
DJAKOTOMEY,Rural,0,0.5514247687816768,0.4046857229369452,0.5545454545454546,0.5575691651112029,Very Poor access,0.5847406066264816,Very Poor access,0.5195768919950134,Very Poor access,0.44634642879053477,Very Poor access,0,Stable
DJIDJA,Rural,0,0.3016691386820312,0.21585209865761734,0.60625,0.26671931147265376,Medium access,0.27815743479497335,Medium access,0.2500520130397006,Medium access,0.193209350649501,Medium access,0,Stable
DJOUGOU,Rural,0,0.7740739881326576,0.2432590651755954,0.590625,0.5570128482679797,Very Poor access,0.6552756154458342,Very Poor access,0.45035280066563343,Very Poor access,0.4176632229833214,Very Poor access,0,Stable
DOGBO,Rural,0,0.03484029223525224,0.14564970800957933,0.5647058823529412,0.08828970503728881,Good access,0.06066947011522794,Good access,0.11311348037940502,Good access,0.06789522530890885,Good access,0,Stable
GLAZOUE,Rural,0,0.48392648010611305,0.08414551696653302,0.5407407407407407,0.33250817800713034,Poor access,0.4114033452864924,Poor access,0.2492868325481796,Medium access,0.2727828945824412,Poor access,1,Slightly sensitive
GOGOUNOU,Rural,0,0.3160669389406804,0.08805355129511741,0.5586206896551724,0.22321073074429842,Good access,0.2642511952007669,Good access,0.17886168569973623,Good access,0.17638580447864408,Good access,0,Stable
GRAND-POPO,Rural,0,0.027938533054669024,0.0,0.5045454545454545,0.0,Good access,0.0,Good access,0.0,Good access,0.0,Good access,0,Stable
HOUEYOGBE,Rural,0,0.30098310369223413,0.1586026372385025,0.5499999999999999,0.2606941457608491,Medium access,0.2852455111805001,Medium access,0.2314853759264931,Medium access,0.2097605678282461,Medium access,0,Stable
IFANGNI,Rural,0,0.3736066167069895,0.20217823311620856,0.5533333333333333,0.32917729252269284,Medium access,0.3598954632112123,Poor access,0.2925686471254509,Medium access,0.26352219232518026,Medium access,1,Slightly sensitive
KALALE,Rural,0,0.5625305651052879,0.24643133428356206,0.51,0.5114824462216686,Very Poor access,0.5781694480871705,Very Poor access,0.4362858185388476,Very Poor access,0.4465104496411821,Very Poor access,0,Stable
KANDI,Rural,0,0.4945331360963675,0.20523379431323413,0.525,0.42684590516308757,Poor access,0.48526072290233674,Poor access,0.36142330252470733,Poor access,0.3614838741126483,Very Poor access,1,Slightly sensitive
KARIMAMA,Rural,0,0.22620041276308803,0.290219014174655,0.5428571428571428,0.29934820248528377,Medium access,0.2819115246374923,Medium access,0.3098889240672678,Poor access,0.2444494335338832,Medium access,1,Slightly sensitive
KEROU,Rural,0,0.27227780246758543,0.15411766857635556,0.5875,0.2239972389373481,Good access,0.24182958738428162,Good access,0.20205239022980645,Good access,0.1675087589239421,Good access,0,Stable
KETOU,Rural,0,1.0,0.16655799143973596,0.5125,0.7420301626379483,Very Poor access,0.9230882802050105,Very Poor access,0.551487124560714,Very Poor access,0.6446112345444088,Very Poor access,0,Stable
KLOUEKANMEY,Rural,0,0.2949851331448031,0.2292197381547593,0.50625,0.3274703918855784,Medium access,0.33800723186550075,Medium access,0.31039435610384075,Poor access,0.2880481135524008,Poor access,2,Sensitive
